"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"go-A6B2r-nb77M6JKysAAAAAA==","google","https://us.bebee.com/job/7e3341a8ad6bc741c0502a6c34908864?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Highly Skilled Software Engineer Opportunity at Autodesk","Autodesk, Inc.","San Francisco, CA","2024-12-30","","description","yearly",141400.0,228800.0,"USD",False,"","","","","Autodesk, Inc. is seeking a highly skilled software engineer to join their team in San Francisco, CA, USA. This is a full-time opportunity with a salary range of $141,400 - $228,800 per year.
Job Description

This position will involve designing and developing new features for Autodesk's pre-construction bidding application, powered by the builder's network. The successful candidate will be responsible for implementing new features, integrating new functionality, crafting APIs, designing and tuning data models and collections, writing tests and documentation, mentoring, and automating operations.
Responsibilities
• Architect and develop new features for the pre-construction bidding application
• Document architectural decisions and code design specifications
• Break apart complex initiatives into manageable chunks
• Focus on quality, including writing unit/integration tests and refactoring when appropriate, debug, and solve defects in implemented software solutions
• Perform on-call duties as required
• Collaborate effectively with UX Designers, Product Managers, SDETs, and other Software Engineers
• Work within a small, agile team, following a sprint methodology
• Participate actively in code reviews and contribute to technical discussions
• Effectively communicate technical challenges within and cross-teams
• Keep yourself up-to-date with evolving technologies and showcase it with an implementation
• Empathetically help other developers grow
Requirements
• 10+ years experience in developing enterprise applications
• Expertise in React, Node.js and REST APIs
• Hands-on experience with Amazon web services
• MongoDB or similar databases experience
• Experience in building, running and monitoring SaaS applications at large scale
• Working knowledge of software design patterns, distributed systems, resiliency and security
Benefits

Autodesk offers a comprehensive benefits package, including health and financial benefits, time away, and everyday wellness programs. Learn more about our benefits at benefits.autodesk.com.","","","","","","","",""
"go-4JeubDpd0R_vKW3PAAAAAA==","google","https://us.bebee.com/job/9ac2423a7a6fb088d246a20721bdf3c5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Autonomous Vehicle Software Engineer: Behavioral Verification and Validation","Aurora","San Francisco, CA","2024-12-30","","description","yearly",150000.0,200000.0,"USD",False,"","","","","We are seeking a skilled Autonomous Vehicle Software Engineer to join our team at Aurora. As a member of our team, you will play a crucial role in developing cutting-edge software solutions for our self-driving systems.
Job Description:

As an Autonomous Vehicle Software Engineer, you will be responsible for designing, developing, and verifying the software that enables our vehicles to navigate safely and efficiently. This includes working on behavioral verification and validation tasks, ensuring that our vehicles can respond appropriately to various scenarios.
Required Skills and Qualifications:
• Strong understanding of software engineering principles and practices
• Proficiency in programming languages such as C++, Python, or Java
• Familiarity with simulation tools and methodologies
• Experience with testing and verification techniques
• Excellent problem-solving skills and attention to detail

You should have a strong foundation in computer science and software engineering, with a degree in Computer Science, Electrical Engineering, or a related field. A master's or Ph.D. is preferred but not required.
Benefits:
• Competitive salary: $150,000 - $200,000 per year
• Comprehensive medical, dental, and vision insurance
• Professional development opportunities
• Mental health support and wellness benefits
• Flexible vacation and paid holidays
• Employee assistance program and commuter benefits
• Life and disability insurance
Why Work at Aurora?

Aurora is a leader in the autonomous vehicle industry, and we are committed to creating a safer, more accessible, and more equitable world through our technology. We value diversity and inclusion, and we strive to create an environment where everyone feels welcome and empowered to contribute. Join us in shaping the future of transportation!","","","","","","","",""
"go-EtdXXMeMIbCmWxVVAAAAAA==","google","https://us.bebee.com/job/7573c2c06db798d434814b149e8d8b97?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Building AI Workflows from the Ground Up","Copy","San Francisco, CA","2024-12-30","","","","","","",True,"","","","","At Copy.ai, we're revolutionizing the way people interact with artificial intelligence. Our platform empowers users to design and create high-impact, high-leverage AI workflows that drive real business value.

We're looking for a skilled Platform Engineer to join our team and build the interface that makes AI accessible to all. As a platform engineer, you'll work on the engine that powers our AI Workflows product, becoming an expert on the entire Workflow stack from inputs and triggers to execution.

You'll collaborate closely with our product and solutions teams to understand new platform needs and build innovative features. Your work will have a direct impact on our customers, helping them navigate their AI transformation journey and achieve their goals.

In this role, you'll have the opportunity to do career-defining work, shaping the future of AI-powered workflows. If you're passionate about building scalable, reliable systems and have experience with modern MVC stacks, queues, and event-based architecture, we want to hear from you.
About You
• 6+ years of software engineering experience
• Experience with SaaS, marketing tools, creator tools, and/or machine learning products is a plus
• Comfortable in modern MVC stacks with ORMs (we use NextJS but experience with Rails/Laravel/etc is fine)
• Experience with queues and event-based architecture

We offer a competitive salary of $140,000 per year, making us one of the top-paying companies in the industry. Additionally, you'll enjoy excellent medical plans, unlimited PTO, 401k plan, and automatic 3% employer contribution from Day 1.

We believe in work-life balance and prioritize your well-being. As a fully remote company, you'll have the flexibility to work from anywhere while still being part of a close-knit and collaborative team.","","","","","","","",""
"go-C_dQFhZQI1U8Q-quAAAAAA==","google","https://us.bebee.com/job/24eaef245f0f818fd78a85471b89b3ee?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Full Stack Software Engineering Lead - Developer Experience","Airwallex","San Francisco, CA","2024-12-30","","description","yearly",150000.0,200000.0,"USD",False,"","","","","About Airwallex

Airwallex is a leading unified payments and financial platform for global businesses. Our proprietary infrastructure and software empower over 100,000 companies worldwide to manage their finances efficiently. We have a team of over 1,500 talented individuals across more than 20 offices globally.

With a valuation of US$5.6 billion and backing from top investors like Sequoia, Lone Pine, Greenoaks, DST Global, Salesforce Ventures, and Mastercard, we are revolutionizing the global payments and financial landscape.

The Developer Experience (DevX) team at Airwallex focuses on delivering an exceptional experience for our customers throughout their developer journey. We aim to provide an intuitive onboarding process that enables developers to discover product details, learn implementation specifics, and develop independently.

We achieve this by collecting feedback through structured channels and using data analytics to inform our decision-making process.
Responsibilities:
• Collaborate with cross-functional teams to refine and streamline the developer experience.
• Evaluate and ensure our APIs meet high standards and conventions.
• Develop a cutting-edge user and data analytics pipeline.
• Create a world-class developer portal and documentation incorporating AI features.
• Contribute to open-source projects and foster a thriving developer community.
• Stay up-to-date with the latest technologies and continuously improve our tech stack.
• Design and develop external tools and services that enhance our customers' experience.
Requirements:
• At least 3 years of software engineering experience.
• Bachelor's or Master's degree in Computer Science or a related field.
• Passion for crafting exceptional developer-facing products.
• Advanced knowledge of one or more programming languages, including Typescript, Java, Kotlin, or Python.
• Excellent communication and collaboration skills.
• Experience working on high-volume distributed systems.
• Strong cloud expertise with GCP (preferred) or AWS (EC2, RDS, ELB, CloudFront, etc.) with Docker and Kubernetes.
Preferred Qualifications:
• Previous experience releasing and maintaining well-known APIs or API design experience.
• Background in the financial domain.
• Leadership experience in major software migrations involving breaking changes.
• Experience working in both early-stage startups and large-scale companies.
• Deep technical knowledge of front-end and/or back-end systems.
• Experience in developer experience or customer-facing engineering roles.

Airwallex is committed to being an equal opportunity employer. We value diversity and make hiring decisions based on merit, qualifications, competence, and talent. If you require accommodation due to a disability or special need, please let us know.
Estimated Salary: $150,000 - $200,000 per year","","","","","","","",""
"go-N9vZSOKJseg0-R6fAAAAAA==","google","https://us.bebee.com/job/8969244c65a76db29e74016bc747fb78?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Developer Specialist for Motion Controllers","Yaskawa America, Inc. / Motoman","San Francisco, CA","2024-12-30","","","","","","",False,"","","","","About the Job

We are seeking a skilled Software Developer Specialist to join our team at Yaskawa America, Inc. / Motoman.

Key Responsibilities:
• Develop and create software tools to support the development of motion controllers and related systems.
• Work closely with the Development Manager to plan, design, and execute software projects.
• Create detailed specifications and schedules for software development tasks.
• Maintain and backup software environments to ensure seamless operation.
• Provide limited customer support for software tools.
• Collaborate with cross-functional teams to achieve project goals.

Requirements:
• A Master's or foreign degree equivalent in Electrical Engineering, Computer Science, or a related field.
• A minimum of 2 years of experience in software engineering or a related field.

Preferred Skills:
• Proficiency in C# programming with Microsoft Visual Studio.
• Experience with Microsoft .NET development and framework environment.
• Non-web-based desktop application development experience for Windows OS.
• User interface development experience with WPF, XAML, MVVM.

Benefits and Perks:
• Competitive salary: $123,614/year.
• Opportunities for professional growth and development.
• Flexible work arrangements, including telecommuting.
• Benefits package.

What We Offer:
• A dynamic and innovative work environment.
• A collaborative team culture.
• The opportunity to work on challenging projects that make a real impact.
• A competitive compensation package.

Contact Information:

Please submit your application through the company's website.","","","","","","","",""
"go-8RNJgTdwA9q2G5aWAAAAAA==","google","https://jobs.news10.com/jobs/sr.-staff-gpu-graphics-virtualization-software-engineer-san-francisco-california/1540359743-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Sr. Staff GPU Graphics Virtualization Software Engineer. Job in San Francisco News10 Jobs","NIO","San Francisco, CA","2024-12-27","","description","yearly",195000.0,250000.0,"USD",False,"","","","","Overview:

NIO Inc. is a pioneer and a leading company in the premium smart electric vehicle market. Founded in November 2014, NIO's mission is to shape a joyful lifestyle. NIO aims to build a community starting with smart electric vehicles to share joy and grow together with users.

NIO designs, develops, jointly manufactures and sells premium smart electric vehicles, driving innovations in next-generation technologies in autonomous driving, digital technologies, electric powertrains and batteries. NIO differentiates itself through its continuous technological breakthroughs and innovations, such as its industry-leading battery swapping technologies, Battery as a Service, or BaaS, as well as its proprietary autonomous driving technologies and Autonomous Driving as a Service, or ADaaS. NIO's product portfolio consists of the ES8, a six-seater smart electric flagship SUV, the ES7 (or the EL7), a mid-large five-seater smart electric SUV, the ES6 (or the EL6), a five-seater all-round smart electric SUV, the EC7, a five-seater smart electric flagship coupe SUV, the EC6, a five-seater smart electric coupe SUV, the ET9, a smart electric executive flagship, the ET7, a smart electric flagship sedan, the ET5, a mid-size smart electric sedan, and the ET5T, a smart electric tourer.

Responsibilities:
• Architect and develop technical solutions that help us deliver high-performance, high-throughput, and high-reliability of GPU virtualization for cross platform vehicle initiatives.
• Develop GPU virtualization software technology for graphics and display in terms of functionality, performance, efficiency and reliability.
• Optimize the solutions developed for performance and design them for scalability.
• Developing Android/Linux and QNX guest drivers / libraries for GPU SW components on QEMU.
• Partner with other engineering teams to understand real-world constraints and to support the high-quality implementation of GPU virtualization for vehicle product SW development, validation and integration.
• Delivering GPU virtualization software solutions in line with product roadmap on time with high quality.
• Follow industry trends and study competitors' technical stacks.

Qualifications:
• 5+ years of experience in software architecture design and development for GPU hardware and software-level virtualization technologies.
• 10+ years development experience of building complex software systems.
• BS / MS in Electrical Engineering, Computer Engineering, Computer Science or equivalent.
• Strong background in GPU architecture and virtualization in Graphics and Display (OpenGL, OpenGL ES, Vulkan, Metal).
• In-depth knowledge of computer architectures, software virtualization, and simulation strategies.
• Solid understanding of Linux / Android and Real-time operating systems and emulation software technologies.
• Experience in HW & SW stack bring-up using Simulators & Emulators.
• Familiar with x86 and ARM class platforms.
• Excellent communication skills, and technical writing proficiency.
• Organized mindset, and passionate about delivering high-quality software.

Preferred Qualifications:
• Expertise in QEMU / Android / QNX emulator or simulator architecture and development.
• Expertise in GPU VM driver software architecture and development in virtualized environments (e.g. QEMU, KVM, VMware, VirtualBox, Xen).
• Experience in automotive platforms is a plus.
• Exposure to cloud computing, databases, and logging techniques is a plus.
• Familiar with microkernel architecture, Linux kernel, hypervisor, middleware, and application framework.

Compensation:

The US base salary range for this full-time position is $195,000.00 - $250,000.00.
• Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training.
• Please note that the compensation details listed in US role postings reflect the base salary only. It does not include discretionary bonus, equity, or benefits.

Benefits:

Along with competitive pay, as a full-time NIO employee, you are eligible for the following benefits on the first day you join NIO:
• CIGNA EPO, HSA, and Kaiser HMO medical plans with $0 for Employee Only Coverage.
• Dental (including orthodontic coverage) and vision plan. Both provide options with a $0 paycheck contribution covering you and your eligible dependents.
• Company Paid HSA (Health Savings Account) Contribution when enrolled in the High Deductible CIGNA medical plan
• Healthcare and Dependent Care Flexible Spending Accounts (FSA)
• 401(k) with Brokerage Link option
• Company paid Basic Life, AD&D, short-term and long-term disability insurance
• Employee Assistance Program
• Sick and Vacation time
• 13 Paid Holidays a year
• Paid Parental Leave for first 8 weeks at full pay (eligible after 90 days of employment with NIO)
• Paid Disability Leave for first 6 weeks at full pay (eligible after 90 days of employment with NIO)
• Voluntary benefits including: Voluntary Life and AD&D options for you, your spouse/domestic partner and dependent child(ren), pet insurance
• Commuter benefits
• Mobile Cell Phone Credit
• Healthjoy mobile benefit app supporting you and your dependents with benefit questions on the go & support with benefit billing questions
• Free lunch and snacks
• Onsite gym
• Employee discounts and perks program","","","","","","","",""
"go-lDbTXfq-LRyLQYgMAAAAAA==","google","https://www.monster.com/job-openings/software-engineer-machine-learning-san-francisco-ca--61780696-389f-40cf-a03d-db1a00453a58?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer - Machine Learning","Money Fit by DRS","San Francisco, CA","2024-12-25","","","","","","",False,"","","","","About Dashworks

Dashworks is an intelligent assistant designed to integrate with your workflow seamlessly. It connects with your work apps to instantly answer work-related questions, generate content, debug code, summarize emails and projects, find documents, and more. It's like having a copilot for work that's just one click away.

We’re on a path to redesigning the future of knowledge sharing at work. We have a unique opportunity to build a category-defining product (and company!) that millions use daily.

We have reached a pivotal stage in our journey:
• After launching ourknowledge assistant for work in July, we're now growing our customer base and product rapidly. We've successfully secured deals with notable companies, including Swiggy and Podium.
• We also released some case studies of customers like Podium and HeyGen automating up 80%+ of their Slack questions using Autopilot.
• We've raised over $9.5m from top investors in Silicon Valley, such as Y Combinator, and founders/operators from companies like Dropbox, Retool, and Twitch.
• We have a small but exceptional team with high talent density from Stanford AI Lab, Meta AI, and Glean.

Joining right now would mean you ride the wave of explosive top-of-the-funnel growth yet get meaningful equity in a pre-series A startup.

Our team's mission is to make humanity omniscient with an AI that can answer any work-related question. In this role, you’ll explore and push the boundaries of what’s possible with ML and how it can improve our daily work lives. As an early engineer to join our team, you'll have the opportunity to materially impact and scale the company's product, team, and culture. You'll get to drive key product initiatives end to end and work alongside exceptionally strong co-workers who learn quickly and ship quality work.
Responsibilities
• Design, develop, and deploy improvements to our core Dashworks assistant. Examples of projects we're tackling include query understanding, intent classification, retrieval, ranking, fine-tuning LLaMa with QLoRA, and prompt engineering.
• Write clean, efficient, scalable code, adhering to best practices and industry standards.
• Perform thorough code reviews and provide constructive feedback to peers.
• Create and maintain comprehensive documentation for AI-driven features, systems, and processes.
• Continuously research and stay up-to-date with the latest trends, techniques, and best practices in AI, full-stack development, and software engineering.
• Contribute to improving product development, proposing and implementing new ideas and technologies.
• Mentor and guide junior developers, helping them grow professionally and technically.

Requirements
• Bachelor's degree in Computer Science, Engineering, or a related field; advanced degree preferred.
• 5+ years of full-stack software development experience, strongly focusing on AI-driven products and applications.
• Experience working on high-impact, customer-facing products or applications.
• Proficiency in modern programming languages and frameworks like Python or similar.
• Experience with natural language processing (NLP) and computer vision techniques.
• Demonstrated expertise in AI and machine learning concepts, techniques, and tools.
• Experience with RESTful API design and development.
• Strong understanding of databases and data modeling, including experience with SQL and NoSQL databases.
• Knowledge of cloud computing platforms and services, such as AWS, Azure, or Google Cloud.
• A proactive and results-oriented mindset with a strong sense of ownership and accountability.

What you’ll love about us

We're working hard to create an environment where people feel empowered to do their best work, make a significant impact, and enjoy what they do. As an early employee, you'll have a massive say in defining the engineering organization, our vision, and our culture. You'll also have uncapped opportunities for growth, learning, and exposure to different business areas.

Here are Dashworks' essential benefits:
• A competitive salary - regularly reviewed to make sure you're always getting what you deserve.
• Meaningful pre-Series A share options - you'll own a part of Dashworks and share in our success
• Home office setup + hardware/software coverage: get a laptop and whatever hardware, software, or services you need and are reasonable to do your job

Interview Process
• 30-minute chat for us to learn about your ideal role and past technical achievements and for you to learn about our vision, current stage, and next milestones
• Two 1-hour long technical interviews involving system design, coding, and debugging
• 30-minute interview to see if we have a mutual cultural fit
• Chatting with two of your references: your previous coworkers/managers. We offer you to chat with our references as well: investors, advisors, customers
• Offer: 3 alternatives with a range of equity and base compensation options. We’ll also answer all your questions about business, finances, cap table, engineering, and anything else you need to make this life-changing decision (for both you and us!)

We move fast through the entire process and aim to complete all the above steps within 3-5 days. We will make an offer to only exceptional candidates whom we have strong conviction in their technical skills and fit for the role.
#J-18808-Ljbffr

Skills:
Amazon Web Services (AWS), Application Programming Interface (API), Artificial Intelligence (AI), Best Practices, Category Development, Cloud Computing, Code Reviews, Computer Science, Computer Services, Computer Systems, Computer Vision, Data Modeling, Database Design, Debugging Skills, Documentation, Industry Standards, Investment Services, Machine Learning, Mentoring, Microsoft Windows Azure, Natural Language Processing (NLP), NoSQL, Product Development, Product Programs, Programming Languages, Python Programming/Scripting Language, REST (Representational State Transfer), SQL Databases, Slack, Software Engineering, Startup, User Documentation

About the Company:
Money Fit by DRS","","","","","","","",""
"go-KQrDI1PCDIR68bh0AAAAAA==","google","https://www.learn4good.com/jobs/online_remote/software_development/3849145118/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer - JavaScript Runtime & Compute SDKs​/Remote","Fastly","San Francisco, CA","2024-12-25","","","","","","",True,"","","","","Position: Staff Software Engineer - JavaScript Runtime & Compute SDKs (Remote)

Fastly helps people stay better connected with the things they love. Fastly’s edge cloud platform enables customers to create great digital experiences quickly, securely, and reliably by processing, serving, and securing our customers’ applications as close to their end-users as possible — at the edge of the Internet. The platform is designed to take advantage of the modern internet, to be programmable, and to support agile software development.

Fastly’s customers include many of the world’s most prominent companies, including Vimeo, Pinterest, The New York Times, and Git Hub.

We're building a more trustworthy Internet. Come join us.

Fastly helps people stay better connected with the things they love. Fastly’s edge cloud platform enables customers to create great digital experiences quickly, securely, and reliably by processing, serving, and securing our customers’ applications as close to their end-users as possible — at the edge of the Internet. The platform is designed to take advantage of the modern internet, to be programmable, and to support agile software development.

Fastly’s customers include many of the world’s most prominent companies, including Vimeo, Pinterest, The New York Times, and Git Hub.

We're building a more trustworthy Internet. Come join us.

Posting Open Date:
January 7th, 2025

Anticipated Posting Close Date*:
February 15th, 2025
• Job posting may close early due to the volume of applicants.

Staff Software Engineer - JavaScript Runtime & SDKs (remote)

The SDK team is a part of the Compute Platform organization, and the Web Assembly team. You will focus on the technology that powers Fastly’s Compute platform – an advanced serverless platform built on open standards which runs on our global edge network. It’s designed to address the requirements of modern application development by empowering customers to run code in a highly secure execution environment with microsecond cold start times, at scale, on the edge.

While we work in multiple programming languages, most of the work for this role, at least initially, will be C++, with some Rust development.

What You'll Do:
• Focus on Fastly’s Java script SDK & the Starling Monkey JS runtime
• Stay ahead of the latest JavaScript and Winter

CG standards, implementing them for Starling Monkey and supporting them on Fastly’s compute platform.
• Your day to day area of focus will vary, depending on project need and skills. The general areas you may work on are:
• Language-specific SDK’s for wasm and improving their feature completeness and performance
• Working with open source communities
• Language runtimes for Wasm (such as Starling Monkey, or the Python runtime)
• Coordinate and communicate seamlessly with the team members and across other technical and product teams
• Contribute to code reviews, improving the codebase and other team processes
• Manage projects from a technical lead role driving project progress and communicating project status to stakeholders

What We're Looking For:
• At least 8+ years of Software Engineering experience building language runtimes or doing language design
• Expert understanding of the JS ecosystem
• Expert in a C++ codebase
• A keen sense of what a good developer experience looks like and a drive to deliver it
• A willingness to dive into and learn bleeding-edge and developing technologies and mentor others
• A great teammate: communicative, collaborative, empathetic with a thoughtful, user-driven approach

We’ll be super impressed if you have experience in any of these: (Optional)
• Experience in platform or runtime development
• Technical leadership experience in open source communities
• Experience with Rust
• Experience with Python
• Experience in Wasm

Work Hours:
• This position will require you to be available during core business hours and occasional nights and weekends as needed to support the on-call rotation.

Work Location(s) & Travel Requirements:

This position is open to both hybrid and remote work locations.

The preferred hybrid locations for this position are:
• San Francisco, CA
• New York City, NY
• Denver, CO

Fastly currently embraces a largely hybrid model for most roles which allows employees flexibility to split their time between the office and home.

We are also…","","","","","","","",""
"go-zJuYV46ilMcH1ZdwAAAAAA==","google","https://www.monster.com/job-openings/staff-engineer-san-francisco-san-francisco-ca--d0d0face-7faf-44f2-9115-453ca96bb32a?mstr_dist=true&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Staff Engineer San Francisco","MongoDB","San Francisco, CA","2024-12-25","","","","","","",False,"","","","","MongoDB’s mission is to empower innovators to create, transform, and disrupt industries by unleashing the power of software and data. We enable organizations of all sizes to easily build, scale, and run modern applications by helping them modernize legacy workloads, embrace innovation, and unleash AI. Our industry-leading developer data platform, MongoDB Atlas, is the only globally distributed, multi-cloud database and is available in more than 115 regions across AWS, Google Cloud, and Microsoft Azure. Atlas allows customers to build and run applications anywhere—on premises, or across cloud providers. With offices worldwide and over 175,000 new developers signing up to use MongoDB every month, it’s no wonder that leading organizations, like Samsung and Toyota, trust MongoDB to build next-generation, AI-powered applications.

Atlas Search is a cloud service that allows users to execute text and vector search queries using the MongoDB Query Language. Our users are free to focus on relevance and data retrieval instead of the machinery needed to search data at scale.

Join a new upcoming team responsible for designing and building features that drive adoption of the Atlas Search for AI workloads. The team will be developing scalable services to deliver ML capabilities like embedding, data processing to build RAG and Chat applications on top of MongoDB.

We are looking to speak to candidates who are based in the San Francisco Bay Area for our hybrid working model.
You would get to
• Design and contribute to our integrated search platform to support ML workloads
• Participate in product and architecture discussions
• Provide thought leadership to continue to scale our architecture to evolve for the needs of tomorrow
• Perform code reviews with peers and make recommendations on how to improve our code and software development processes
• Collaborate with other teams including cloud services, database, enterprise tools, drivers and support to coordinate changes or contribute to their projects
Ideally you will be
• 10+ years experience delivering large scale systems on production
• Proficient in modern programming languages and techniques preferably Java and Python
• Eager to impact and envision the technological future of a complex system
• Experienced in developing distributed systems, cloud services and SaaS products
• Experience with building Gen AI applications or tools like langchain, llama index is preferred but not required
• Experienced in designing and maintaining search platforms or distributed databases is preferred but not required
• Experienced in debugging and profiling multithreaded JVM applications and distributed applications is preferred but not required
Success Measures
• In three months, you will contribute to search repos to build the foundation for embedding management in MongoDB as well as develop relationships with your team and leaders on other teams
• In six months, you will have delivered a key feature and contribute to design for new ML capabilities in Atlas Search
• In twelve months, you'll be building POCs, designing new features, and collaborating with other Cloud and Server teams on complex projects

To drive the personal growth and business impact of our employees, we’re committed to developing a supportive and enriching culture for everyone. From employee affinity groups, to fertility assistance and a generous parental leave policy, we value our employees’ wellbeing and want to support them along every step of their professional and personal journeys.

MongoDB is committed to providing any necessary accommodations for individuals with disabilities within our application and interview process. To request an accommodation due to a disability, please inform your recruiter.

MongoDB, Inc. provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type and makes all hiring decisions without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
#J-18808-Ljbffr

About the Company:
MongoDB","","","","","","","",""
"go-EVMB1zVdTxyKgm5pAAAAAA==","google","https://us.bebee.com/job/96fa1a5c2ff1c794f4d63609b55ef2a8?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Senior Financial Software Engineer","Bloomberg","San Francisco, CA","2024-12-19","","","","","","",False,"","","","","As a Senior Quantitative Developer at Bloomberg, you will play a crucial role in shaping the future of our BQuant platform. You will work on developing cloud-native products for systematic and quantamental investment workflows, leveraging our vast market data resources and state-of-the-art technology stack.

Your key responsibilities will include designing and implementing a modular framework for evaluating systematic trading strategies, creating user-friendly APIs, and collaborating with our quantitative research team to prototype and iterate on new product ideas.

To succeed in this role, you will need 4+ years of experience as a quantitative developer writing production-quality Python code at financial technology firms, broad experience developing software for quantitative investment workflows, and excellent communication skills to work effectively with cross-functional teams.

The estimated annual salary for this position is between $155,000 and $285,000.","","","","","","","",""
